,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,month,day,year,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,DewPoint_y,ResultSpeed_y,ResultDir_y
0,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",2,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",3,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
2,"6200 North Mandell Avenue, Chicago, IL 60646, USA",3,62,30,8,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
3,"7900 West Foster Avenue, Chicago, IL 60656, USA",2,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
4,"7900 West Foster Avenue, Chicago, IL 60656, USA",3,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
5,"1500 West Webster Avenue, Chicago, IL 60614, USA",3,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
6,"2500 West Grand Avenue, Chicago, IL 60654, USA",3,25,123,35,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
7,"1100 Roosevelt Road, Chicago, IL 60608, USA",2,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
8,"1100 Roosevelt Road, Chicago, IL 60608, USA",3,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
9,"1100 West Chicago Avenue, Chicago, IL 60642, USA",3,11,117,38,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
10,"2100 North Stave Street, Chicago, IL 60647, USA",2,21,45,39,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
11,"2200 North Cannon Drive, Chicago, IL 60614, USA",2,22,18,41,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
12,"2200 North Cannon Drive, Chicago, IL 60614, USA",3,22,18,41,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
13,"2200 West 113th Street, Chicago, IL 60643, USA",2,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
14,"2200 West 113th Street, Chicago, IL 60643, USA",3,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
15,"1100 South Peoria Street, Chicago, IL 60608, USA",3,11,81,75,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
16,"1700 West 95th Street, Chicago, IL 60643, USA",3,17,112,77,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
17,"2200 West 89th Street, Chicago, IL 60643, USA",3,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
18,"2200 West 89th Street, Chicago, IL 60643, USA",1,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
19,"North Streeter Drive, Chicago, IL 60611, USA",2,53,46,91,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
20,"North Streeter Drive, Chicago, IL 60611, USA",3,53,46,91,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
21,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2,65,36,96,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
22,"7500 North Oakley Avenue, Chicago, IL 60645, USA",2,75,37,101,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
23,"1500 North Long Avenue, Chicago, IL 60651, USA",3,15,29,106,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
24,"8900 South Carpenter Street, Chicago, IL 60620, USA",3,89,57,112,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,5,29,2007,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
25,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",2,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",3,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",1,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
28,"7900 West Foster Avenue, Chicago, IL 60656, USA",2,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
